Price_Milk,Price_Chocolate,Price_Soup,Price_Ramen,Demand_Milk,Demand_Chocolate,Demand_Soup,Demand_Ramen
4.68,5.77,4.52,3.12,653,69,146,66
2.61,6.64,5.97,2.97,1557,98,143,129
2.77,3.6,3.9,2.43,816,142,208,243
3.61,7.64,3.76,2.81,951,52,228,109
2.74,2.69,4.46,2.24,1315,208,170,294
5.02,4.31,4.69,0.49,448,71,50,2788
2.25,3.06,3.15,2.31,1536,198,423,259
3.25,6.17,5.49,3.01,507,93,185,117
5.33,5.62,3.4,2.44,524,43,168,72
4.44,3.48,3.91,2.77,640,151,118,115
3.14,4.07,3.46,2.76,661,137,256,119
4.21,4.06,2.86,0.78,623,111,181,828
4.39,4.32,5.86,2.95,583,100,82,86
2.97,6.66,3.77,0.7,1145,87,110,1712
2.47,6.34,2.79,0.53,1543,140,244,3215
5.24,4.63,2.39,0.87,507,62,157,563
4.98,2.87,3.07,0.68,478,130,98,982
4.34,2.29,4.19,1.44,551,168,108,351
3.25,3.88,4.39,1.56,1040,98,175,395
5.02,4.26,4.96,3.19,241,88,120,89
1.84,4.43,2.95,0.59,1341,115,260,4562
3.74,2.2,3.19,3.18,886,149,199,96
5.47,2.7,4.23,2.38,420,111,73,102
3.68,2.3,5.41,1.74,763,153,99,391
3.57,6.3,5.98,2.81,969,45,143,118
2.53,4.18,5.35,2.41,1443,198,190,232
2.95,6.45,2.19,1.43,792,124,288,367
2.93,4.14,3.52,1.24,1013,147,247,420
5.27,6.93,3.14,1.12,373,41,109,260
3.98,5.08,3.14,2.18,696,95,160,151
5.36,5.06,4.44,1.14,532,74,109,483
1.62,6.77,3.43,0.94,2053,135,138,1514
4.08,5.44,4.24,1.14,541,61,79,707
5.27,4.89,4.66,2.78,443,66,119,91
4.02,3.31,3.23,0.39,710,138,131,3096
3.05,7.96,5.01,0.7,938,64,70,1670
4.7,3.88,2.28,2.75,638,136,334,74
3.57,5.95,2.07,1.76,796,97,515,214
1.9,3.88,4.43,2.04,1116,179,171,339
2.67,4.23,3.4,1.73,1356,181,162,311
3.23,6.96,5.46,1.7,466,69,88,336
1.69,7.18,5.36,2.93,2597,129,261,178
4.18,2.26,3.12,0.25,494,132,92,9555
1.75,4.06,3.45,1.52,2010,186,483,647
2.04,5.33,4.55,1.62,2022,132,214,600
2.47,3.77,4.71,1.52,1109,161,170,432
1.68,6.91,2.83,0.78,1609,135,310,2212
2.88,7.16,2.83,1.98,999,96,149,258
4.4,2.35,3.83,2.81,525,174,190,58
4.26,5.72,5.74,0.86,895,103,73,1049
3.54,6.01,2.58,0.18,954,83,144,15235
3.11,6.42,4.79,2.45,884,75,182,202
2.01,2.58,4.29,3.1,1421,240,174,156
4.2,2.94,4.3,1.99,688,126,126,152
1.52,5.79,2.02,1.27,2067,211,855,862
3.15,6.0,3.45,1.55,728,80,219,325
3.36,2.31,3.08,2.73,773,189,255,115
2.29,7.15,4.88,2.82,1832,91,251,213
4.83,4.28,5.56,3.19,455,84,107,106
5.29,3.15,4.11,2.29,583,78,119,134
3.78,2.76,4.08,3.14,701,181,188,81
1.76,2.91,2.9,0.93,1015,331,326,1416
2.99,3.32,2.82,2.18,1522,119,434,163
4.48,2.82,4.91,0.7,621,115,87,1199
2.36,5.13,5.74,1.17,1377,195,113,646
3.44,3.44,4.03,0.86,969,184,159,873
4.22,5.68,5.04,2.15,560,77,149,201
5.44,7.89,2.44,2.36,468,63,276,112
2.22,4.61,3.53,0.87,1796,189,236,1560
2.7,3.21,3.45,2.1,1376,194,225,300
1.9,7.37,3.25,2.47,2004,159,344,235
2.38,3.23,4.97,2.81,1627,182,188,178
2.05,2.63,3.04,3.08,2091,335,549,105
2.55,5.53,4.57,2.8,1056,113,217,104
5.07,4.37,2.26,2.16,639,66,305,92
2.82,3.15,4.06,0.56,575,141,122,3312
3.92,4.76,3.18,2.76,725,82,240,105
2.9,3.73,5.09,1.97,930,166,144,247
5.18,5.15,2.96,0.83,548,64,119,1090
4.67,4.68,5.82,0.54,663,50,46,2776
4.2,7.26,3.29,0.52,687,83,126,2575
4.51,2.14,4.02,1.04,758,149,91,419
1.52,4.9,3.42,2.8,1988,176,328,252
1.85,6.05,2.34,1.12,1965,101,384,1017
5.01,5.83,4.82,2.64,445,75,97,86
3.66,3.11,2.81,1.65,708,198,275,222
2.83,3.21,3.37,1.72,1295,179,303,256
4.62,7.17,4.65,0.4,597,58,72,3755
2.97,3.53,5.08,2.9,1102,124,175,132
4.51,5.91,3.82,1.21,397,54,116,459
